run_id,accuracy,cm,logloss,data,C
b6c36866-d7ae-4e33-8b0c-fbaf49901d3f,0.7532089552238806,"[[32011  6330]
 [10205 18454]]",0.5210696040489824,train,0.001
b6c36866-d7ae-4e33-8b0c-fbaf49901d3f,0.749030303030303,"[[15692  3193]
 [ 5089  9026]]",0.5210561363184094,test,0.001
e48343f8-4014-47c7-829b-399cb6bc6e70,0.7642537313432836,"[[30678  7663]
 [ 8132 20527]]",0.5060085967386426,train,0.01
e48343f8-4014-47c7-829b-399cb6bc6e70,0.7630606060606061,"[[15081  3804]
 [ 4015 10100]]",0.5056251046306046,test,0.01
10ee307b-c538-459f-885d-e0cdb0575839,0.7659850746268657,"[[30250  8091]
 [ 7588 21071]]",0.5051601130606269,train,0.1
10ee307b-c538-459f-885d-e0cdb0575839,0.7653939393939394,"[[14901  3984]
 [ 3758 10357]]",0.5045989990104597,test,0.1
c0d4d742-5f68-41be-8ba5-f440e2f656bc,0.7663134328358209,"[[30230  8111]
 [ 7546 21113]]",0.5051478423528574,train,1.0
c0d4d742-5f68-41be-8ba5-f440e2f656bc,0.7653636363636364,"[[14895  3990]
 [ 3753 10362]]",0.5045629094281833,test,1.0
14ad596b-a0a8-4daf-8a8a-e325c35e1838,0.7662537313432836,"[[30232  8109]
 [ 7552 21107]]",0.5051477312105506,train,10.0
14ad596b-a0a8-4daf-8a8a-e325c35e1838,0.7653333333333333,"[[14894  3991]
 [ 3753 10362]]",0.5045601982116245,test,10.0
7e9a2477-e423-4f16-95f0-60cc85e28aab,0.7662537313432836,"[[30233  8108]
 [ 7553 21106]]",0.5051477311221648,train,100.0
7e9a2477-e423-4f16-95f0-60cc85e28aab,0.7653636363636364,"[[14894  3991]
 [ 3752 10363]]",0.5045599483452277,test,100.0
89dfcd24-6c08-4114-b359-09bbdda58f86,0.7662537313432836,"[[30233  8108]
 [ 7553 21106]]",0.5051477318297997,train,1000.0
89dfcd24-6c08-4114-b359-09bbdda58f86,0.7653636363636364,"[[14894  3991]
 [ 3752 10363]]",0.5045599235954891,test,1000.0
2faca44f-2de8-4f70-8dab-d858b46d4361,0.7662537313432836,"[[30233  8108]
 [ 7553 21106]]",0.5051477280761205,train,10000.0
2faca44f-2de8-4f70-8dab-d858b46d4361,0.7653636363636364,"[[14894  3991]
 [ 3752 10363]]",0.504559920936441,test,10000.0
