run_id,accuracy,cm,logloss,data,nn
d9914f84-dc16-4907-9575-92e3be1c9abb,0.9948656716417911,"[[38184   157]
 [  187 28472]]",0.17733529278575944,train,1
d9914f84-dc16-4907-9575-92e3be1c9abb,0.6927878787878788,"[[13860  5025]
 [ 5113  9002]]",10.610852517233068,valid,1
f9f5c22e-3b38-42f2-bfc5-47ff16b3deae,0.8466567164179104,"[[33579  4762]
 [ 5512 23147]]",0.293601921561365,train,3
f9f5c22e-3b38-42f2-bfc5-47ff16b3deae,0.7356666666666667,"[[14670  4215]
 [ 4508  9607]]",3.531710727251312,valid,3
4923c62a-afcd-4a73-8b0d-a4d76a64598a,0.8182388059701493,"[[32759  5582]
 [ 6596 22063]]",0.3617280694741077,train,5
4923c62a-afcd-4a73-8b0d-a4d76a64598a,0.7513636363636363,"[[15038  3847]
 [ 4358  9757]]",2.1562864350580986,valid,5
dab27df4-5ce0-4664-b3e7-df05e285e62f,0.8065671641791045,"[[32313  6028]
 [ 6932 21727]]",0.39386586381583283,train,7
dab27df4-5ce0-4664-b3e7-df05e285e62f,0.7579090909090909,"[[15136  3749]
 [ 4240  9875]]",1.5669710828225711,valid,7
59f9e5c3-3b06-4c14-9ae6-a5a799400d0c,0.8002537313432836,"[[32081  6260]
 [ 7123 21536]]",0.41176800226124305,train,9
59f9e5c3-3b06-4c14-9ae6-a5a799400d0c,0.762,"[[15199  3686]
 [ 4168  9947]]",1.2101061931276784,valid,9
c5ef85d6-21bc-4930-98ab-20e8a820e877,0.7964328358208955,"[[31922  6419]
 [ 7220 21439]]",0.42383857834590893,train,11
c5ef85d6-21bc-4930-98ab-20e8a820e877,0.7638787878787878,"[[15202  3683]
 [ 4109 10006]]",0.9958797928727647,valid,11
cbc5aca2-911a-45ec-9553-94bc2703b501,0.794179104477612,"[[31855  6486]
 [ 7304 21355]]",0.4326029979103401,train,13
cbc5aca2-911a-45ec-9553-94bc2703b501,0.765090909090909,"[[15193  3692]
 [ 4060 10055]]",0.8722300196394774,valid,13
0ec84f99-8fca-490a-a8fd-d36d1b12e7ff,0.7915223880597015,"[[31701  6640]
 [ 7328 21331]]",0.43950427689640537,train,15
0ec84f99-8fca-490a-a8fd-d36d1b12e7ff,0.7677878787878788,"[[15222  3663]
 [ 4000 10115]]",0.7899071019678696,valid,15
562d4835-6c10-423a-994f-dbe2661042a4,0.7898955223880597,"[[31666  6675]
 [ 7402 21257]]",0.4443388647147015,train,17
562d4835-6c10-423a-994f-dbe2661042a4,0.7673333333333333,"[[15230  3655]
 [ 4023 10092]]",0.7335519042487202,valid,17
f743e83d-f036-436e-89d8-6adb0786b28c,0.789,"[[31629  6712]
 [ 7425 21234]]",0.447731741355017,train,19
f743e83d-f036-436e-89d8-6adb0786b28c,0.7671212121212121,"[[15224  3661]
 [ 4024 10091]]",0.692871197594768,valid,19
d6e22012-d575-46b9-947f-ecfc4a21f779,0.7882537313432836,"[[31587  6754]
 [ 7433 21226]]",0.450773830304856,train,21
d6e22012-d575-46b9-947f-ecfc4a21f779,0.7682727272727272,"[[15229  3656]
 [ 3991 10124]]",0.6559033715264306,valid,21
81c50b71-4af1-4005-82a5-3883d236c058,0.7873432835820896,"[[31541  6800]
 [ 7448 21211]]",0.45289896043435174,train,23
81c50b71-4af1-4005-82a5-3883d236c058,0.7691212121212121,"[[15247  3638]
 [ 3981 10134]]",0.6264557168060257,valid,23
3eae6338-dfa3-4ce5-bfa2-427ae4bef0dd,0.7856567164179105,"[[31459  6882]
 [ 7479 21180]]",0.455112403599874,train,25
3eae6338-dfa3-4ce5-bfa2-427ae4bef0dd,0.7699393939393939,"[[15247  3638]
 [ 3954 10161]]",0.5997108026198716,valid,25
e5cd9bda-f28a-455b-9223-9b7aec37d59a,0.7851044776119402,"[[31446  6895]
 [ 7503 21156]]",0.4565746874581738,train,27
e5cd9bda-f28a-455b-9223-9b7aec37d59a,0.7706363636363637,"[[15256  3629]
 [ 3940 10175]]",0.5839218588474575,valid,27
2dd984ce-844e-4d0d-b520-a364e241076e,0.7849253731343283,"[[31464  6877]
 [ 7533 21126]]",0.45822208144777893,train,29
2dd984ce-844e-4d0d-b520-a364e241076e,0.7708181818181818,"[[15271  3614]
 [ 3949 10166]]",0.567169559115068,valid,29
ddde2034-11d8-43b4-b6ca-0e34a5595967,0.7842686567164179,"[[31445  6896]
 [ 7558 21101]]",0.45957907484280663,train,31
ddde2034-11d8-43b4-b6ca-0e34a5595967,0.771969696969697,"[[15288  3597]
 [ 3928 10187]]",0.5584071684238142,valid,31
196079a7-4155-4ae8-97bb-6be598215981,0.783955223880597,"[[31393  6948]
 [ 7527 21132]]",0.46068544256435606,train,33
196079a7-4155-4ae8-97bb-6be598215981,0.7716060606060606,"[[15276  3609]
 [ 3928 10187]]",0.5483652860677073,valid,33
1ac48e8a-14b1-49fd-be7e-b91f092f1f3a,0.7836119402985074,"[[31366  6975]
 [ 7523 21136]]",0.4617664128666563,train,35
1ac48e8a-14b1-49fd-be7e-b91f092f1f3a,0.771,"[[15263  3622]
 [ 3935 10180]]",0.5348538195055323,valid,35
69d8f149-49b8-40a1-a1d4-b4ca546f9529,0.7833731343283582,"[[31379  6962]
 [ 7552 21107]]",0.4626327633540384,train,37
69d8f149-49b8-40a1-a1d4-b4ca546f9529,0.770969696969697,"[[15253  3632]
 [ 3926 10189]]",0.5259963532550591,valid,37
6311ebe8-80fe-448c-85a4-d53cfc4dc878,0.7824925373134328,"[[31332  7009]
 [ 7564 21095]]",0.4635946786164048,train,39
6311ebe8-80fe-448c-85a4-d53cfc4dc878,0.7722727272727272,"[[15280  3605]
 [ 3910 10205]]",0.5209908454543227,valid,39
3ddf7e33-251c-4d6a-8fdc-f78a63340a49,0.7823283582089552,"[[31318  7023]
 [ 7561 21098]]",0.46410991724518513,train,41
3ddf7e33-251c-4d6a-8fdc-f78a63340a49,0.7730303030303031,"[[15288  3597]
 [ 3893 10222]]",0.5194575325017532,valid,41
2934ae51-1df4-45c1-8158-c2f526257f86,0.7821492537313433,"[[31323  7018]
 [ 7578 21081]]",0.464846734467949,train,43
2934ae51-1df4-45c1-8158-c2f526257f86,0.7729090909090909,"[[15280  3605]
 [ 3889 10226]]",0.514756879177077,valid,43
6b0f72c5-3ee5-422e-9c0b-44e9b90b3c6b,0.7813880597014925,"[[31292  7049]
 [ 7598 21061]]",0.46537700669768695,train,45
6b0f72c5-3ee5-422e-9c0b-44e9b90b3c6b,0.7732424242424243,"[[15275  3610]
 [ 3873 10242]]",0.5124703299332452,valid,45
35ddb3f1-1c3d-426f-a8de-55dfdf55203f,0.7820597014925373,"[[31286  7055]
 [ 7547 21112]]",0.4660709715700631,train,47
35ddb3f1-1c3d-426f-a8de-55dfdf55203f,0.7727878787878788,"[[15268  3617]
 [ 3881 10234]]",0.5081610255922517,valid,47
9a703b05-7c32-4569-975a-f0c8f9076700,0.7813432835820896,"[[31264  7077]
 [ 7573 21086]]",0.4664316485899592,train,49
9a703b05-7c32-4569-975a-f0c8f9076700,0.7734242424242425,"[[15280  3605]
 [ 3872 10243]]",0.5002751326905822,valid,49
c64842f0-42a8-4791-9d2b-584598642320,0.780865671641791,"[[31264  7077]
 [ 7605 21054]]",0.46699099602940597,train,51
c64842f0-42a8-4791-9d2b-584598642320,0.7736060606060606,"[[15285  3600]
 [ 3871 10244]]",0.4962345543653981,valid,51
4b48862d-eb80-4c94-b393-2786e873b9e0,0.7815373134328358,"[[31302  7039]
 [ 7598 21061]]",0.46769353428053834,train,53
4b48862d-eb80-4c94-b393-2786e873b9e0,0.7733030303030303,"[[15278  3607]
 [ 3874 10241]]",0.49525895597671044,valid,53
4d8bc39b-6321-4adf-8d32-7f44341bae73,0.7811194029850747,"[[31277  7064]
 [ 7601 21058]]",0.46816295170789324,train,55
4d8bc39b-6321-4adf-8d32-7f44341bae73,0.7724545454545455,"[[15256  3629]
 [ 3880 10235]]",0.492832425184024,valid,55
dd0574e9-b282-4762-b645-248e0d5c5052,0.7811194029850747,"[[31288  7053]
 [ 7612 21047]]",0.4686157621832909,train,57
dd0574e9-b282-4762-b645-248e0d5c5052,0.7727272727272727,"[[15272  3613]
 [ 3887 10228]]",0.48991471254926583,valid,57
9091fd19-c1a3-4eba-841f-2fee9ca01551,0.7808955223880597,"[[31274  7067]
 [ 7613 21046]]",0.4688819425521317,train,59
9091fd19-c1a3-4eba-841f-2fee9ca01551,0.7732727272727272,"[[15287  3598]
 [ 3884 10231]]",0.4877284481612008,valid,59
693df9b4-4f25-4354-80df-d64d6bf78974,0.7805373134328358,"[[31270  7071]
 [ 7633 21026]]",0.4692769174367919,train,61
693df9b4-4f25-4354-80df-d64d6bf78974,0.7732727272727272,"[[15279  3606]
 [ 3876 10239]]",0.48775030849764006,valid,61
160604d6-4fa6-450e-9231-d2a594432e44,0.7808358208955224,"[[31292  7049]
 [ 7635 21024]]",0.4697128335311618,train,63
160604d6-4fa6-450e-9231-d2a594432e44,0.7730606060606061,"[[15276  3609]
 [ 3880 10235]]",0.4863566402313719,valid,63
bac7c45c-e7de-40c0-b565-81537a4ff5ee,0.7800298507462686,"[[31249  7092]
 [ 7646 21013]]",0.4702361328000997,train,65
bac7c45c-e7de-40c0-b565-81537a4ff5ee,0.772969696969697,"[[15275  3610]
 [ 3882 10233]]",0.4863445871559494,valid,65
4e6da001-7644-4f17-98b6-a3d85049a762,0.7798208955223881,"[[31245  7096]
 [ 7656 21003]]",0.4703704961747642,train,67
4e6da001-7644-4f17-98b6-a3d85049a762,0.7726060606060606,"[[15271  3614]
 [ 3890 10225]]",0.48516818685394586,valid,67
9a7e4395-adb5-4023-9090-5c41751bf8b4,0.7797462686567164,"[[31217  7124]
 [ 7633 21026]]",0.4705793709616408,train,69
9a7e4395-adb5-4023-9090-5c41751bf8b4,0.7725757575757576,"[[15272  3613]
 [ 3892 10223]]",0.4842568540570345,valid,69
a822b30f-d832-4809-9b3a-d14ec38e34e1,0.7798208955223881,"[[31233  7108]
 [ 7644 21015]]",0.47077901812438766,train,71
a822b30f-d832-4809-9b3a-d14ec38e34e1,0.7720606060606061,"[[15261  3624]
 [ 3898 10217]]",0.484253678171727,valid,71
81b10603-0455-48c8-baf8-4c73365d8c45,0.7797462686567164,"[[31240  7101]
 [ 7656 21003]]",0.4710500235927081,train,73
81b10603-0455-48c8-baf8-4c73365d8c45,0.7721515151515151,"[[15272  3613]
 [ 3906 10209]]",0.4841579593777253,valid,73
